Nx,Ny,Points,Iter,Interp,Mover,Total
250,100,100000000,1,0.821446,0.000000,0.821446
250,100,100000000,2,0.833978,0.000000,0.833978
250,100,100000000,3,0.827643,0.000000,0.827643
250,100,100000000,4,0.864472,0.000000,0.864472
250,100,100000000,5,0.817212,0.000000,0.817212
250,100,100000000,6,0.821898,0.000000,0.821898
250,100,100000000,7,0.841763,0.000000,0.841763
250,100,100000000,8,0.813078,0.000000,0.813078
250,100,100000000,9,0.826575,0.000000,0.826575
250,100,100000000,10,0.817769,0.000000,0.817769
250,100,100000000,Total,,,8.285834
500,200,100000000,1,0.836989,0.000000,0.836989
500,200,100000000,2,0.809195,0.000000,0.809195
500,200,100000000,3,0.838748,0.000000,0.838748
500,200,100000000,4,0.820998,0.000000,0.820998
500,200,100000000,5,0.821993,0.000000,0.821993
500,200,100000000,6,0.811896,0.000000,0.811896
500,200,100000000,7,0.806172,0.000000,0.806172
500,200,100000000,8,0.809758,0.000000,0.809758
500,200,100000000,9,0.834352,0.000000,0.834352
500,200,100000000,10,0.822921,0.000000,0.822921
500,200,100000000,Total,,,8.213022
1000,400,100000000,1,1.373546,0.000000,1.373546
1000,400,100000000,2,1.365545,0.000000,1.365545
1000,400,100000000,3,1.364744,0.000000,1.364744
1000,400,100000000,4,1.366302,0.000000,1.366302
1000,400,100000000,5,1.357014,0.000000,1.357014
1000,400,100000000,6,1.366383,0.000000,1.366383
1000,400,100000000,7,1.378578,0.000000,1.378578
1000,400,100000000,8,1.407919,0.000000,1.407919
1000,400,100000000,9,1.404415,0.000000,1.404415
1000,400,100000000,10,1.367766,0.000000,1.367766
1000,400,100000000,Total,,,13.752212
