Nx,Ny,Points,Iter,Interp,Mover,Total
1000,400,100,6,0.000000,0.000000,0.000000
1000,400,100,7,0.000000,0.000000,0.000000
1000,400,100,8,0.000000,0.000000,0.000000
1000,400,100,9,0.000000,0.000000,0.000000
1000,400,100,10,0.000000,0.000000,0.000000
1000,400,100,Total,,,0.000000
1000,400,10000,1,0.000000,0.000000,0.000000
1000,400,10000,2,0.000000,0.000000,0.000000
1000,400,10000,3,0.000000,0.000000,0.000000
1000,400,10000,4,0.000000,0.000000,0.000000
1000,400,10000,5,0.000000,0.000000,0.000000
1000,400,10000,6,0.000000,0.000000,0.000000
1000,400,10000,7,0.000000,0.000000,0.000000
1000,400,10000,8,0.000000,0.000000,0.000000
1000,400,10000,9,0.000000,0.000000,0.000000
1000,400,10000,10,0.000000,0.000000,0.000000
1000,400,10000,Total,,,0.000000
1000,400,1000000,1,0.030000,0.000000,0.030000
1000,400,1000000,2,0.020000,0.000000,0.020000
1000,400,1000000,3,0.030000,0.000000,0.030000
1000,400,1000000,4,0.020000,0.000000,0.020000
1000,400,1000000,5,0.030000,0.000000,0.030000
1000,400,1000000,6,0.020000,0.000000,0.020000
1000,400,1000000,7,0.020000,0.000000,0.020000
1000,400,1000000,8,0.030000,0.000000,0.030000
1000,400,1000000,9,0.020000,0.000000,0.020000
1000,400,1000000,10,0.030000,0.000000,0.030000
1000,400,1000000,Total,,,0.250000
1000,400,100000000,1,2.420000,0.000000,2.420000
1000,400,100000000,2,2.410000,0.000000,2.410000
1000,400,100000000,3,3.140000,0.000000,3.140000
1000,400,100000000,4,4.220000,0.000000,4.220000
1000,400,100000000,5,4.210000,0.000000,4.210000
1000,400,100000000,6,4.280000,0.000000,4.280000
1000,400,100000000,7,4.300000,0.000000,4.300000
1000,400,100000000,8,4.290000,0.000000,4.290000
1000,400,100000000,9,4.080000,0.000000,4.080000
1000,400,100000000,10,4.070000,0.000000,4.070000
1000,400,100000000,Total,,,37.420000
1000,400,1000000000,1,38.120000,0.000000,38.120000
1000,400,1000000000,2,38.130000,0.000000,38.130000
1000,400,1000000000,3,36.120000,0.000000,36.120000
1000,400,1000000000,4,37.780000,0.000000,37.780000
1000,400,1000000000,5,26.510000,0.000000,26.510000
1000,400,1000000000,6,25.680000,0.000000,25.680000
1000,400,1000000000,7,25.630000,0.000000,25.630000
1000,400,1000000000,8,25.650000,0.000000,25.650000
1000,400,1000000000,9,35.750000,0.000000,35.750000
1000,400,1000000000,10,38.150000,0.000000,38.150000
1000,400,1000000000,Total,,,327.520000
