Grid Dimensions,Threads,Total Particles,Iteration,Time (seconds)
500 x 200,2,20000000,1,0.085245
500 x 200,2,20000000,2,0.088312
500 x 200,2,20000000,3,0.088895
500 x 200,2,20000000,4,0.086537
500 x 200,2,20000000,5,0.085530
500 x 200,2,20000000,6,0.084890
500 x 200,2,20000000,7,0.083984
500 x 200,2,20000000,8,0.091811
500 x 200,2,20000000,9,0.087613
500 x 200,2,20000000,10,0.083584
500 x 200,4,20000000,1,0.045852
500 x 200,4,20000000,2,0.045507
500 x 200,4,20000000,3,0.046426
500 x 200,4,20000000,4,0.047983
500 x 200,4,20000000,5,0.046205
500 x 200,4,20000000,6,0.046544
500 x 200,4,20000000,7,0.047838
500 x 200,4,20000000,8,0.050317
500 x 200,4,20000000,9,0.045189
500 x 200,4,20000000,10,0.044614
500 x 200,8,20000000,1,0.046649
500 x 200,8,20000000,2,0.045970
500 x 200,8,20000000,3,0.046642
500 x 200,8,20000000,4,0.046172
500 x 200,8,20000000,5,0.046104
500 x 200,8,20000000,6,0.046134
500 x 200,8,20000000,7,0.047070
500 x 200,8,20000000,8,0.046201
500 x 200,8,20000000,9,0.047495
500 x 200,8,20000000,10,0.047181
500 x 200,16,20000000,1,0.036934
500 x 200,16,20000000,2,0.036299
500 x 200,16,20000000,3,0.038677
500 x 200,16,20000000,4,0.039254
500 x 200,16,20000000,5,0.038360
500 x 200,16,20000000,6,0.041984
500 x 200,16,20000000,7,0.045159
500 x 200,16,20000000,8,0.039523
500 x 200,16,20000000,9,0.035873
500 x 200,16,20000000,10,0.041530
