Grid Dimensions,Threads,Total Particles,Iteration,Time (seconds)
500 x 200,2,3600000,1,0.017348
500 x 200,2,3600000,2,0.015565
500 x 200,2,3600000,3,0.015663
500 x 200,2,3600000,4,0.016933
500 x 200,2,3600000,5,0.016817
500 x 200,2,3600000,6,0.015289
500 x 200,2,3600000,7,0.017850
500 x 200,2,3600000,8,0.016226
500 x 200,2,3600000,9,0.016253
500 x 200,2,3600000,10,0.015800
500 x 200,4,3600000,1,0.009003
500 x 200,4,3600000,2,0.008780
500 x 200,4,3600000,3,0.008854
500 x 200,4,3600000,4,0.008737
500 x 200,4,3600000,5,0.008768
500 x 200,4,3600000,6,0.008466
500 x 200,4,3600000,7,0.008876
500 x 200,4,3600000,8,0.008706
500 x 200,4,3600000,9,0.008655
500 x 200,4,3600000,10,0.008594
500 x 200,8,3600000,1,0.009345
500 x 200,8,3600000,2,0.009071
500 x 200,8,3600000,3,0.009091
500 x 200,8,3600000,4,0.009171
500 x 200,8,3600000,5,0.009026
500 x 200,8,3600000,6,0.009045
500 x 200,8,3600000,7,0.009052
500 x 200,8,3600000,8,0.009093
500 x 200,8,3600000,9,0.009114
500 x 200,8,3600000,10,0.009066
500 x 200,16,3600000,1,0.008608
500 x 200,16,3600000,2,0.008212
500 x 200,16,3600000,3,0.008681
500 x 200,16,3600000,4,0.008798
500 x 200,16,3600000,5,0.008159
500 x 200,16,3600000,6,0.008915
500 x 200,16,3600000,7,0.009576
500 x 200,16,3600000,8,0.008146
500 x 200,16,3600000,9,0.007923
500 x 200,16,3600000,10,0.008652
