Grid Dimensions,Threads,Total Particles,Iteration,Time (seconds)
250 x 100,2,5000000,1,0.021331
250 x 100,2,5000000,2,0.022582
250 x 100,2,5000000,3,0.022353
250 x 100,2,5000000,4,0.021504
250 x 100,2,5000000,5,0.021355
250 x 100,2,5000000,6,0.022463
250 x 100,2,5000000,7,0.021526
250 x 100,2,5000000,8,0.020189
250 x 100,2,5000000,9,0.020423
250 x 100,2,5000000,10,0.021581
250 x 100,4,5000000,1,0.011560
250 x 100,4,5000000,2,0.011227
250 x 100,4,5000000,3,0.011685
250 x 100,4,5000000,4,0.011606
250 x 100,4,5000000,5,0.011205
250 x 100,4,5000000,6,0.011387
250 x 100,4,5000000,7,0.011588
250 x 100,4,5000000,8,0.011281
250 x 100,4,5000000,9,0.011317
250 x 100,4,5000000,10,0.011396
250 x 100,8,5000000,1,0.011243
250 x 100,8,5000000,2,0.011095
250 x 100,8,5000000,3,0.011049
250 x 100,8,5000000,4,0.011037
250 x 100,8,5000000,5,0.011051
250 x 100,8,5000000,6,0.011061
250 x 100,8,5000000,7,0.011094
250 x 100,8,5000000,8,0.010969
250 x 100,8,5000000,9,0.011064
250 x 100,8,5000000,10,0.011031
250 x 100,16,5000000,1,0.008878
250 x 100,16,5000000,2,0.010756
250 x 100,16,5000000,3,0.010536
250 x 100,16,5000000,4,0.011035
250 x 100,16,5000000,5,0.010924
250 x 100,16,5000000,6,0.010941
250 x 100,16,5000000,7,0.010277
250 x 100,16,5000000,8,0.009069
250 x 100,16,5000000,9,0.009978
250 x 100,16,5000000,10,0.011271
