Grid Dimensions,Threads,Total Particles,Iteration,Time (seconds)
500 x 200,2,3600000,1,0.049006
500 x 200,2,3600000,2,0.048820
500 x 200,2,3600000,3,0.049286
500 x 200,2,3600000,4,0.048841
500 x 200,2,3600000,5,0.048791
500 x 200,2,3600000,6,0.048804
500 x 200,2,3600000,7,0.048747
500 x 200,2,3600000,8,0.048779
500 x 200,2,3600000,9,0.049827
500 x 200,2,3600000,10,0.048735
500 x 200,4,3600000,1,0.027047
500 x 200,4,3600000,2,0.026742
500 x 200,4,3600000,3,0.026816
500 x 200,4,3600000,4,0.026885
500 x 200,4,3600000,5,0.026878
500 x 200,4,3600000,6,0.026893
500 x 200,4,3600000,7,0.026801
500 x 200,4,3600000,8,0.026723
500 x 200,4,3600000,9,0.027175
500 x 200,4,3600000,10,0.026641
500 x 200,8,3600000,1,0.015842
500 x 200,8,3600000,2,0.015562
500 x 200,8,3600000,3,0.015564
500 x 200,8,3600000,4,0.015598
500 x 200,8,3600000,5,0.015567
500 x 200,8,3600000,6,0.015526
500 x 200,8,3600000,7,0.015544
500 x 200,8,3600000,8,0.015538
500 x 200,8,3600000,9,0.015566
500 x 200,8,3600000,10,0.016451
500 x 200,16,3600000,1,0.018643
500 x 200,16,3600000,2,0.018199
500 x 200,16,3600000,3,0.019727
500 x 200,16,3600000,4,0.016815
500 x 200,16,3600000,5,0.019691
500 x 200,16,3600000,6,0.019858
500 x 200,16,3600000,7,0.020173
500 x 200,16,3600000,8,0.018211
500 x 200,16,3600000,9,0.018715
500 x 200,16,3600000,10,0.018134
