Grid Dimensions,Threads,Total Particles,Iteration,Time (seconds)
250 x 100,2,5000000,1,0.062011
250 x 100,2,5000000,2,0.063268
250 x 100,2,5000000,3,0.063202
250 x 100,2,5000000,4,0.061648
250 x 100,2,5000000,5,0.061205
250 x 100,2,5000000,6,0.061363
250 x 100,2,5000000,7,0.062330
250 x 100,2,5000000,8,0.061149
250 x 100,2,5000000,9,0.061126
250 x 100,2,5000000,10,0.061697
250 x 100,4,5000000,1,0.031892
250 x 100,4,5000000,2,0.032044
250 x 100,4,5000000,3,0.031728
250 x 100,4,5000000,4,0.032030
250 x 100,4,5000000,5,0.031610
250 x 100,4,5000000,6,0.031659
250 x 100,4,5000000,7,0.032309
250 x 100,4,5000000,8,0.031693
250 x 100,4,5000000,9,0.031612
250 x 100,4,5000000,10,0.031629
250 x 100,8,5000000,1,0.017834
250 x 100,8,5000000,2,0.018251
250 x 100,8,5000000,3,0.017553
250 x 100,8,5000000,4,0.017562
250 x 100,8,5000000,5,0.017574
250 x 100,8,5000000,6,0.017555
250 x 100,8,5000000,7,0.017605
250 x 100,8,5000000,8,0.017696
250 x 100,8,5000000,9,0.017567
250 x 100,8,5000000,10,0.017784
250 x 100,16,5000000,1,0.020467
250 x 100,16,5000000,2,0.021982
250 x 100,16,5000000,3,0.020406
250 x 100,16,5000000,4,0.020426
250 x 100,16,5000000,5,0.021983
250 x 100,16,5000000,6,0.020399
250 x 100,16,5000000,7,0.020551
250 x 100,16,5000000,8,0.021939
250 x 100,16,5000000,9,0.020288
250 x 100,16,5000000,10,0.020409
