Grid Dimensions,Threads,Total Particles,Iteration,Time (seconds)
1000 x 400,2,14000000,1,0.207577
1000 x 400,2,14000000,2,0.206416
1000 x 400,2,14000000,3,0.208198
1000 x 400,2,14000000,4,0.206745
1000 x 400,2,14000000,5,0.207488
1000 x 400,2,14000000,6,0.206630
1000 x 400,2,14000000,7,0.206569
1000 x 400,2,14000000,8,0.207295
1000 x 400,2,14000000,9,0.206035
1000 x 400,2,14000000,10,0.388735
1000 x 400,4,14000000,1,0.205039
1000 x 400,4,14000000,2,0.203034
1000 x 400,4,14000000,3,0.202925
1000 x 400,4,14000000,4,0.203322
1000 x 400,4,14000000,5,0.203573
1000 x 400,4,14000000,6,0.203959
1000 x 400,4,14000000,7,0.204422
1000 x 400,4,14000000,8,0.133062
1000 x 400,4,14000000,9,0.128295
1000 x 400,4,14000000,10,0.130420
1000 x 400,8,14000000,1,0.155142
1000 x 400,8,14000000,2,0.154635
1000 x 400,8,14000000,3,0.155019
1000 x 400,8,14000000,4,0.154960
1000 x 400,8,14000000,5,0.155285
1000 x 400,8,14000000,6,0.154576
1000 x 400,8,14000000,7,0.154492
1000 x 400,8,14000000,8,0.154566
1000 x 400,8,14000000,9,0.146749
1000 x 400,8,14000000,10,0.145903
1000 x 400,16,14000000,1,0.120159
1000 x 400,16,14000000,2,0.127244
1000 x 400,16,14000000,3,0.138565
1000 x 400,16,14000000,4,0.142040
1000 x 400,16,14000000,5,0.169587
1000 x 400,16,14000000,6,0.145733
1000 x 400,16,14000000,7,0.151445
1000 x 400,16,14000000,8,0.149471
1000 x 400,16,14000000,9,0.141973
1000 x 400,16,14000000,10,0.168588
