Grid Dimensions,Threads,Total Particles,Iteration,Time (seconds)
250 x 100,2,900000,1,0.011346
250 x 100,2,900000,2,0.011089
250 x 100,2,900000,3,0.011199
250 x 100,2,900000,4,0.011057
250 x 100,2,900000,5,0.011079
250 x 100,2,900000,6,0.011074
250 x 100,2,900000,7,0.011157
250 x 100,2,900000,8,0.011143
250 x 100,2,900000,9,0.011131
250 x 100,2,900000,10,0.011109
250 x 100,4,900000,1,0.006113
250 x 100,4,900000,2,0.005930
250 x 100,4,900000,3,0.005951
250 x 100,4,900000,4,0.005914
250 x 100,4,900000,5,0.005960
250 x 100,4,900000,6,0.005912
250 x 100,4,900000,7,0.005969
250 x 100,4,900000,8,0.005875
250 x 100,4,900000,9,0.005941
250 x 100,4,900000,10,0.005924
250 x 100,8,900000,1,0.003614
250 x 100,8,900000,2,0.003502
250 x 100,8,900000,3,0.003492
250 x 100,8,900000,4,0.003485
250 x 100,8,900000,5,0.003514
250 x 100,8,900000,6,0.003476
250 x 100,8,900000,7,0.003524
250 x 100,8,900000,8,0.003503
250 x 100,8,900000,9,0.003452
250 x 100,8,900000,10,0.003506
250 x 100,16,900000,1,0.006864
250 x 100,16,900000,2,0.008239
250 x 100,16,900000,3,0.008204
250 x 100,16,900000,4,0.008168
250 x 100,16,900000,5,0.008150
250 x 100,16,900000,6,0.006693
250 x 100,16,900000,7,0.006704
250 x 100,16,900000,8,0.007535
250 x 100,16,900000,9,0.006705
250 x 100,16,900000,10,0.006597
