Grid_X,Grid_Y,Total_Points,Threads,Iter,Interp,Mover,Total
1000,400,14000000,2,7,0.351959,0.196688,0.548648
1000,400,14000000,2,8,0.351539,0.196643,0.548182
1000,400,14000000,2,9,0.351794,0.196493,0.548286
1000,400,14000000,2,10,0.351731,0.196443,0.548175
1000,400,14000000,4,1,0.351359,0.131997,0.483356
1000,400,14000000,4,2,0.351611,0.13191,0.483521
1000,400,14000000,4,3,0.351512,0.131803,0.483315
1000,400,14000000,4,4,0.351929,0.131675,0.483604
1000,400,14000000,4,5,0.352055,0.131894,0.483948
1000,400,14000000,4,6,0.35197,0.131675,0.483645
1000,400,14000000,4,7,0.351597,0.131753,0.48335
1000,400,14000000,4,8,0.35172,0.131595,0.483315
1000,400,14000000,4,9,0.35144,0.131696,0.483136
1000,400,14000000,4,10,0.352253,0.1317,0.483953
1000,400,14000000,8,1,0.352788,0.10073,0.453518
1000,400,14000000,8,2,0.351493,0.100425,0.451918
1000,400,14000000,8,3,0.351797,0.100447,0.452245
1000,400,14000000,8,4,0.35142,0.100346,0.451766
1000,400,14000000,8,5,0.352088,0.100316,0.452403
1000,400,14000000,8,6,0.351851,0.100235,0.452086
1000,400,14000000,8,7,0.351592,0.100304,0.451896
1000,400,14000000,8,8,0.351977,0.100269,0.452246
1000,400,14000000,8,9,0.35179,0.100217,0.452007
1000,400,14000000,8,10,0.352077,0.100356,0.452433
1000,400,14000000,16,1,0.351671,0.10197,0.453641
1000,400,14000000,16,2,0.351325,0.099016,0.450341
1000,400,14000000,16,3,0.352162,0.099066,0.451228
1000,400,14000000,16,4,0.351526,0.098859,0.450386
1000,400,14000000,16,5,0.350836,0.099562,0.450398
1000,400,14000000,16,6,0.350727,0.098667,0.449394
1000,400,14000000,16,7,0.350197,0.098222,0.44842
1000,400,14000000,16,8,0.350365,0.100158,0.450524
1000,400,14000000,16,9,0.350314,0.098636,0.448951
1000,400,14000000,16,10,0.351443,0.101936,0.453379
