=====================================================
Nx : 250, Ny : 100, Points : 14000000
=====================================================

Threads: 1
Iter    Interp          Mover           Total
9       0.351440        0.131696        0.483136
10      0.352253        0.131700        0.483953

=====================================================
Total : 4.835143
=====================================================

=====================================================
Nx : 1000, Ny : 400, Points : 14000000
=====================================================

Threads: 8
Iter    Interp          Mover           Total
1       0.352788        0.100730        0.453518
2       0.351493        0.100425        0.451918
3       0.351797        0.100447        0.452245
4       0.351420        0.100346        0.451766
5       0.352088        0.100316        0.452403
6       0.351851        0.100235        0.452086
7       0.351592        0.100304        0.451896
8       0.351977        0.100269        0.452246
9       0.351790        0.100217        0.452007
10      0.352077        0.100356        0.452433

=====================================================
Total : 4.522519
=====================================================

=====================================================
Nx : 1000, Ny : 400, Points : 14000000
=====================================================

Threads: 16
Iter    Interp          Mover           Total
1       0.351671        0.101970        0.453641
2       0.351325        0.099016        0.450341
3       0.352162        0.099066        0.451228
4       0.351526        0.098859        0.450386
5       0.350836        0.099562        0.450398
6       0.350727        0.098667        0.449394
7       0.350197        0.098222        0.448420
8       0.350365        0.100158        0.450524
9       0.350314        0.098636        0.448951
10      0.351443        0.101936        0.453379

=====================================================
Total : 4.506661
=====================================================
