Nx,Ny,Points,Iter,Interp,Mover,Total
250,100,100000000,1,2.190000,0.000000,2.190000
250,100,100000000,2,2.180000,0.000000,2.180000
250,100,100000000,3,2.190000,0.000000,2.190000
250,100,100000000,4,2.190000,0.000000,2.190000
250,100,100000000,5,2.200000,0.000000,2.200000
250,100,100000000,6,2.180000,0.000000,2.180000
250,100,100000000,7,2.220000,0.000000,2.220000
250,100,100000000,8,2.190000,0.000000,2.190000
250,100,100000000,9,2.190000,0.000000,2.190000
250,100,100000000,10,2.180000,0.000000,2.180000
250,100,100000000,Total,,,21.910000
500,200,100000000,1,2.410000,0.000000,2.410000
500,200,100000000,2,2.410000,0.000000,2.410000
500,200,100000000,3,2.420000,0.000000,2.420000
500,200,100000000,4,2.410000,0.000000,2.410000
500,200,100000000,5,2.410000,0.000000,2.410000
500,200,100000000,6,2.420000,0.000000,2.420000
500,200,100000000,7,2.470000,0.000000,2.470000
500,200,100000000,8,2.520000,0.000000,2.520000
500,200,100000000,9,2.520000,0.000000,2.520000
500,200,100000000,10,2.530000,0.000000,2.530000
500,200,100000000,Total,,,24.520000
1000,400,100000000,1,3.220000,0.000000,3.220000
1000,400,100000000,2,3.220000,0.000000,3.220000
1000,400,100000000,3,2.960000,0.000000,2.960000
1000,400,100000000,4,2.480000,0.000000,2.480000
1000,400,100000000,5,2.470000,0.000000,2.470000
1000,400,100000000,6,2.470000,0.000000,2.470000
1000,400,100000000,7,2.480000,0.000000,2.480000
1000,400,100000000,8,2.470000,0.000000,2.470000
1000,400,100000000,9,2.550000,0.000000,2.550000
1000,400,100000000,10,2.480000,0.000000,2.480000
1000,400,100000000,Total,,,26.800000
