Grid_X,Grid_Y,Total_Points,Threads,Iter,Interp,Mover,Total
250,100,14000000,1,1,0.303864,0.253077,0.556941
250,100,14000000,1,2,0.303738,0.25323,0.556968
250,100,14000000,1,3,0.310997,0.272679,0.583676
250,100,14000000,1,4,0.374505,0.276803,0.651307
250,100,14000000,1,5,0.323682,0.271691,0.595373
250,100,14000000,1,6,0.323182,0.27241,0.595592
250,100,14000000,1,7,0.323729,0.272278,0.596008
250,100,14000000,1,8,0.32327,0.272424,0.595694
250,100,14000000,1,9,0.323197,0.271951,0.595148
250,100,14000000,1,10,0.323489,0.272721,0.59621
250,100,14000000,2,1,0.323922,0.136219,0.460141
250,100,14000000,2,2,0.323309,0.13624,0.459549
250,100,14000000,2,3,0.323659,0.138176,0.461835
250,100,14000000,2,4,0.323658,0.140524,0.464182
250,100,14000000,2,5,0.323066,0.140414,0.46348
250,100,14000000,2,6,0.323218,0.140475,0.463693
250,100,14000000,2,7,0.323155,0.140638,0.463793
250,100,14000000,2,8,0.322997,0.14109,0.464087
250,100,14000000,2,9,0.323312,0.140536,0.463848
250,100,14000000,2,10,0.3232,0.140585,0.463785
250,100,14000000,4,1,0.323535,0.070489,0.394024
250,100,14000000,4,2,0.323434,0.070458,0.393892
250,100,14000000,4,3,0.323178,0.070468,0.393646
250,100,14000000,4,4,0.323289,0.070461,0.39375
250,100,14000000,4,5,0.323356,0.070531,0.393887
250,100,14000000,4,6,0.324307,0.070444,0.394752
250,100,14000000,4,7,0.323332,0.070432,0.393765
250,100,14000000,4,8,0.32344,0.070481,0.393921
250,100,14000000,4,9,0.323551,0.070482,0.394033
250,100,14000000,4,10,0.323324,0.070403,0.393727
250,100,14000000,8,1,0.323719,0.046683,0.370403
250,100,14000000,8,2,0.323564,0.046387,0.36995
250,100,14000000,8,3,0.323469,0.046626,0.370095
250,100,14000000,8,4,0.323419,0.046395,0.369815
250,100,14000000,8,5,0.323373,0.046481,0.369853
250,100,14000000,8,6,0.323463,0.046311,0.369774
250,100,14000000,8,7,0.322994,0.046444,0.369438
250,100,14000000,8,8,0.3232,0.046512,0.369712
250,100,14000000,8,9,0.323355,0.046181,0.369536
250,100,14000000,8,10,0.32334,0.046445,0.369785
250,100,14000000,16,1,0.323722,0.041907,0.365628
250,100,14000000,16,2,0.323694,0.042236,0.36593
250,100,14000000,16,3,0.323628,0.041977,0.365605
250,100,14000000,16,4,0.323181,0.042111,0.365292
250,100,14000000,16,5,0.322915,0.039551,0.362466
250,100,14000000,16,6,0.323291,0.037366,0.360657
250,100,14000000,16,7,0.304451,0.041682,0.346133
250,100,14000000,16,8,0.306073,0.034131,0.340204
250,100,14000000,16,9,0.305105,0.041653,0.346758
250,100,14000000,16,10,0.304916,0.04163,0.346546
500,200,14000000,1,1,0.336592,0.253463,0.590054
500,200,14000000,1,2,0.33647,0.253478,0.589948
500,200,14000000,1,3,0.336217,0.253415,0.589631
500,200,14000000,1,4,0.336602,0.253173,0.589775
500,200,14000000,1,5,0.336461,0.253237,0.589698
500,200,14000000,1,6,0.337566,0.253167,0.590733
500,200,14000000,1,7,0.3365,0.253455,0.589955
500,200,14000000,1,8,0.336555,0.253465,0.590019
500,200,14000000,1,9,0.336486,0.253333,0.589819
500,200,14000000,1,10,0.336683,0.253248,0.589931
500,200,14000000,2,1,0.33635,0.135757,0.472108
500,200,14000000,2,2,0.336855,0.136043,0.472898
500,200,14000000,2,3,0.336774,0.135568,0.472343
500,200,14000000,2,4,0.336551,0.135799,0.47235
500,200,14000000,2,5,0.336378,0.135634,0.472012
500,200,14000000,2,6,0.336683,0.136042,0.472725
500,200,14000000,2,7,0.336608,0.135498,0.472106
500,200,14000000,2,8,0.336531,0.135536,0.472067
500,200,14000000,2,9,0.336685,0.139867,0.476551
500,200,14000000,2,10,0.346164,0.13531,0.481475
500,200,14000000,4,1,0.346039,0.070056,0.416095
500,200,14000000,4,2,0.34677,0.07007,0.41684
500,200,14000000,4,3,0.346162,0.070059,0.416222
500,200,14000000,4,4,0.346496,0.070008,0.416504
500,200,14000000,4,5,0.346031,0.069984,0.416015
500,200,14000000,4,6,0.346118,0.070108,0.416227
500,200,14000000,4,7,0.346263,0.070208,0.416471
500,200,14000000,4,8,0.345724,0.07016,0.415884
500,200,14000000,4,9,0.346455,0.070219,0.416674
500,200,14000000,4,10,0.345891,0.070211,0.416102
500,200,14000000,8,1,0.346128,0.039857,0.385984
500,200,14000000,8,2,0.345954,0.039862,0.385816
500,200,14000000,8,3,0.346464,0.039833,0.386297
