Nx,Ny,Points,Iter,Interp,Mover,Total
1000,400,100,6,0.000001,0.000000,0.000001
1000,400,100,7,0.000001,0.000000,0.000001
1000,400,100,8,0.000001,0.000000,0.000001
1000,400,100,9,0.000001,0.000000,0.000001
1000,400,100,10,0.000001,0.000000,0.000001
1000,400,100,Total,,,0.000014
1000,400,10000,1,0.000138,0.000000,0.000138
1000,400,10000,2,0.000135,0.000000,0.000135
1000,400,10000,3,0.000140,0.000000,0.000140
1000,400,10000,4,0.000131,0.000000,0.000131
1000,400,10000,5,0.000133,0.000000,0.000133
1000,400,10000,6,0.000139,0.000000,0.000139
1000,400,10000,7,0.000137,0.000000,0.000137
1000,400,10000,8,0.000139,0.000000,0.000139
1000,400,10000,9,0.000137,0.000000,0.000137
1000,400,10000,10,0.000139,0.000000,0.000139
1000,400,10000,Total,,,0.001368
1000,400,1000000,1,0.014524,0.000000,0.014524
1000,400,1000000,2,0.014725,0.000000,0.014725
1000,400,1000000,3,0.012794,0.000000,0.012794
1000,400,1000000,4,0.013055,0.000000,0.013055
1000,400,1000000,5,0.015656,0.000000,0.015656
1000,400,1000000,6,0.013500,0.000000,0.013500
1000,400,1000000,7,0.014513,0.000000,0.014513
1000,400,1000000,8,0.014304,0.000000,0.014304
1000,400,1000000,9,0.014175,0.000000,0.014175
1000,400,1000000,10,0.014508,0.000000,0.014508
1000,400,1000000,Total,,,0.141754
1000,400,100000000,1,1.372077,0.000000,1.372077
1000,400,100000000,2,1.411412,0.000000,1.411412
1000,400,100000000,3,1.373442,0.000000,1.373442
1000,400,100000000,4,1.330088,0.000000,1.330088
1000,400,100000000,5,1.312193,0.000000,1.312193
1000,400,100000000,6,1.336825,0.000000,1.336825
1000,400,100000000,7,1.329771,0.000000,1.329771
1000,400,100000000,8,1.307788,0.000000,1.307788
1000,400,100000000,9,1.327391,0.000000,1.327391
1000,400,100000000,10,1.333992,0.000000,1.333992
1000,400,100000000,Total,,,13.434979
1000,400,1000000000,1,22.558704,0.000000,22.558704
1000,400,1000000000,2,21.387671,0.000000,21.387671
1000,400,1000000000,3,19.747071,0.000000,19.747071
1000,400,1000000000,4,17.776916,0.000000,17.776916
1000,400,1000000000,5,18.478243,0.000000,18.478243
1000,400,1000000000,6,18.261385,0.000000,18.261385
1000,400,1000000000,7,17.421172,0.000000,17.421172
1000,400,1000000000,8,16.159673,0.000000,16.159673
1000,400,1000000000,9,17.009645,0.000000,17.009645
1000,400,1000000000,10,17.753474,0.000000,17.753474
1000,400,1000000000,Total,,,186.553954
