Grid_X,Grid_Y,Total_Points,Threads,Iter,Interp,Mover,Total
250,100,14000000,1,1,0.176,0.187,0.363
250,100,14000000,1,2,0.233,0.14,0.373
250,100,14000000,1,3,0.162,0.165,0.327
250,100,14000000,1,4,0.136,0.185,0.321
250,100,14000000,1,5,0.16,0.16,0.32
250,100,14000000,1,6,0.177,0.171,0.348
250,100,14000000,1,7,0.142,0.154,0.296
250,100,14000000,1,8,0.169,0.143,0.312
250,100,14000000,1,9,0.146,0.14,0.286
250,100,14000000,1,10,0.163,0.189,0.352
500,200,14000000,1,1,0.216,0.153,0.369
500,200,14000000,1,2,0.239,0.216,0.455
500,200,14000000,1,3,0.211,0.147,0.358
500,200,14000000,1,4,0.174,0.165,0.339
500,200,14000000,1,5,0.201,0.161,0.362
500,200,14000000,1,6,0.171,0.164,0.335
500,200,14000000,1,7,0.145,0.151,0.296
500,200,14000000,1,8,0.161,0.239,0.4
500,200,14000000,1,9,0.164,0.15,0.314
500,200,14000000,1,10,0.159,0.142,0.301
1000,400,14000000,1,1,0.251,0.151,0.402
1000,400,14000000,1,2,0.197,0.153,0.35
1000,400,14000000,1,3,0.206,0.149,0.355
1000,400,14000000,1,4,0.187,0.151,0.338
1000,400,14000000,1,5,0.197,0.135,0.332
1000,400,14000000,1,6,0.202,0.141,0.343
1000,400,14000000,1,7,0.201,0.145,0.346
1000,400,14000000,1,8,0.205,0.142,0.347
1000,400,14000000,1,9,0.194,0.134,0.328
1000,400,14000000,1,10,0.23,0.141,0.371
