Grid_X,Grid_Y,Total_Points,Threads,Iter,Interp,Mover,Total
500,200,14000000,2,1,0.157,0.175,0.332
500,200,14000000,2,2,0.156,0.178,0.334
500,200,14000000,2,3,0.151,0.181,0.332
500,200,14000000,2,4,0.181,0.175,0.356
500,200,14000000,2,5,0.154,0.172,0.326
500,200,14000000,2,6,0.147,0.178,0.325
500,200,14000000,2,7,0.184,0.17,0.354
500,200,14000000,2,8,0.161,0.168,0.329
500,200,14000000,2,9,0.145,0.176,0.321
500,200,14000000,2,10,0.168,0.184,0.352
500,200,14000000,4,1,0.153,0.122,0.275
500,200,14000000,4,2,0.15,0.115,0.265
500,200,14000000,4,3,0.141,0.109,0.25
500,200,14000000,4,4,0.151,0.112,0.263
500,200,14000000,4,5,0.165,0.11,0.275
500,200,14000000,4,6,0.152,0.107,0.259
500,200,14000000,4,7,0.162,0.108,0.27
500,200,14000000,4,8,0.155,0.112,0.267
500,200,14000000,4,9,0.148,0.107,0.255
500,200,14000000,4,10,0.147,0.108,0.255
500,200,14000000,8,1,0.19,0.098,0.288
500,200,14000000,8,2,0.18,0.09,0.27
500,200,14000000,8,3,0.156,0.106,0.262
500,200,14000000,8,4,0.152,0.09,0.242
500,200,14000000,8,5,0.149,0.089,0.238
500,200,14000000,8,6,0.151,0.105,0.256
500,200,14000000,8,7,0.168,0.121,0.289
500,200,14000000,8,8,0.151,0.086,0.237
500,200,14000000,8,9,0.153,0.105,0.258
500,200,14000000,8,10,0.165,0.091,0.256
500,200,14000000,16,1,0.149,0.079,0.228
500,200,14000000,16,2,0.168,0.078,0.246
500,200,14000000,16,3,0.147,0.076,0.223
500,200,14000000,16,4,0.149,0.09,0.239
500,200,14000000,16,5,0.159,0.087,0.246
500,200,14000000,16,6,0.147,0.083,0.23
500,200,14000000,16,7,0.151,0.089,0.24
500,200,14000000,16,8,0.156,0.082,0.238
500,200,14000000,16,9,0.163,0.086,0.249
500,200,14000000,16,10,0.163,0.076,0.239
1000,400,14000000,2,1,0.214,0.174,0.388
1000,400,14000000,2,2,0.21,0.175,0.385
1000,400,14000000,2,3,0.187,0.175,0.362
1000,400,14000000,2,4,0.242,0.186,0.428
1000,400,14000000,2,5,0.183,0.183,0.366
1000,400,14000000,2,6,0.186,0.18,0.366
1000,400,14000000,2,7,0.179,0.192,0.371
1000,400,14000000,2,8,0.203,0.168,0.371
1000,400,14000000,2,9,0.219,0.173,0.392
1000,400,14000000,2,10,0.186,0.177,0.363
1000,400,14000000,4,1,0.241,0.116,0.357
1000,400,14000000,4,2,0.218,0.108,0.326
1000,400,14000000,4,3,0.191,0.112,0.303
1000,400,14000000,4,4,0.186,0.111,0.297
1000,400,14000000,4,5,0.216,0.109,0.325
1000,400,14000000,4,6,0.19,0.106,0.296
1000,400,14000000,4,7,0.293,0.117,0.41
1000,400,14000000,4,8,0.246,0.12,0.366
1000,400,14000000,4,9,0.226,0.114,0.34
1000,400,14000000,4,10,0.207,0.112,0.319
1000,400,14000000,8,1,0.245,0.099,0.344
1000,400,14000000,8,2,0.213,0.095,0.308
1000,400,14000000,8,3,0.242,0.096,0.338
1000,400,14000000,8,4,0.21,0.093,0.303
1000,400,14000000,8,5,0.201,0.095,0.296
1000,400,14000000,8,6,0.207,0.099,0.306
1000,400,14000000,8,7,0.215,0.104,0.319
1000,400,14000000,8,8,0.2,0.095,0.295
1000,400,14000000,8,9,0.199,0.104,0.303
1000,400,14000000,8,10,0.199,0.095,0.294
1000,400,14000000,16,1,0.201,0.09,0.291
1000,400,14000000,16,2,0.196,0.094,0.29
1000,400,14000000,16,3,0.224,0.089,0.313
1000,400,14000000,16,4,0.211,0.087,0.298
1000,400,14000000,16,5,0.222,0.083,0.305
1000,400,14000000,16,6,0.215,0.084,0.299
1000,400,14000000,16,7,0.207,0.083,0.29
1000,400,14000000,16,8,0.247,0.082,0.329
1000,400,14000000,16,9,0.195,0.089,0.284
1000,400,14000000,16,10,0.211,0.082,0.293
