Grid_X,Grid_Y,Total_Points,Threads,Iter,Interp,Mover,Total
250,100,14000000,2,1,0.183,0.169,0.352
250,100,14000000,2,2,0.151,0.167,0.318
250,100,14000000,2,3,0.172,0.165,0.337
250,100,14000000,2,4,0.167,0.164,0.331
250,100,14000000,2,5,0.153,0.161,0.314
250,100,14000000,2,6,0.152,0.161,0.313
250,100,14000000,2,7,0.149,0.169,0.318
250,100,14000000,2,8,0.148,0.169,0.317
250,100,14000000,2,9,0.168,0.169,0.337
250,100,14000000,2,10,0.147,0.165,0.312
250,100,14000000,4,1,0.143,0.106,0.249
250,100,14000000,4,2,0.159,0.106,0.265
250,100,14000000,4,3,0.143,0.113,0.256
250,100,14000000,4,4,0.143,0.108,0.251
250,100,14000000,4,5,0.168,0.112,0.28
250,100,14000000,4,6,0.176,0.106,0.282
250,100,14000000,4,7,0.15,0.124,0.274
250,100,14000000,4,8,0.16,0.116,0.276
250,100,14000000,4,9,0.15,0.115,0.265
250,100,14000000,4,10,0.18,0.122,0.302
250,100,14000000,8,1,0.147,0.097,0.244
250,100,14000000,8,2,0.15,0.091,0.241
250,100,14000000,8,3,0.153,0.095,0.248
250,100,14000000,8,4,0.142,0.098,0.24
250,100,14000000,8,5,0.169,0.101,0.27
250,100,14000000,8,6,0.157,0.092,0.249
250,100,14000000,8,7,0.152,0.094,0.246
250,100,14000000,8,8,0.16,0.11,0.27
250,100,14000000,8,9,0.14,0.094,0.234
250,100,14000000,8,10,0.161,0.106,0.267
250,100,14000000,16,1,0.152,0.083,0.235
250,100,14000000,16,2,0.174,0.085,0.259
250,100,14000000,16,3,0.157,0.086,0.243
250,100,14000000,16,4,0.152,0.085,0.237
250,100,14000000,16,5,0.136,0.094,0.23
250,100,14000000,16,6,0.143,0.09,0.233
250,100,14000000,16,7,0.176,0.094,0.27
250,100,14000000,16,8,0.145,0.087,0.232
250,100,14000000,16,9,0.141,0.085,0.226
250,100,14000000,16,10,0.146,0.083,0.229
